Date,Open,High,Low,Close,Volume
06/17/2021,"256.07","261.75","256.01","260.90","27,565,539"
06/16/2021,"259.40","260.58","254.42","257.38","27,219,961"
06/15/2021,"259.78","259.99","257.68","258.36","18,038,930"
06/14/2021,"257.90","259.95","256.80","259.89","19,150,510"
06/11/2021,"257.99","258.49","256.61","257.89","18,999,730"
06/10/2021,"254.29","257.46","253.67","257.24","24,563,619"
06/09/2021,"253.81","255.53","253.21","253.59","17,937,631"
06/08/2021,"255.16","256.01","252.51","252.57","22,455,000"
06/07/2021,"249.98","254.09","249.81","253.81","23,079,170"
06/04/2021,"247.76","251.65","247.51","250.79","25,281,090"
06/03/2021,"245.22","246.34","243.00","245.71","25,307,711"
06/02/2021,"248.13","249.27","245.84","247.30","19,406,711"
06/01/2021,"251.23","251.29","246.96","247.40","23,213,311"
05/28/2021,"251.00","252.08","249.56","249.68","18,274,939"
05/27/2021,"251.17","251.48","249.25","249.31","24,426,240"
05/26/2021,"251.43","252.94","250.75","251.49","17,771,600"
05/25/2021,"251.77","252.75","250.82","251.72","17,704,301"
05/24/2021,"247.79","251.16","247.51","250.78","21,411,551"
05/21/2021,"247.57","248.33","244.74","245.17","21,863,061"
05/20/2021,"243.96","247.95","243.86","246.48","21,800,721"
05/19/2021,"239.31","243.23","238.60","243.12","25,739,811"
05/18/2021,"246.27","246.41","242.90","243.08","20,167,980"
05/17/2021,"246.55","246.59","243.52","245.18","24,938,180"
05/14/2021,"245.58","249.18","245.49","248.15","23,901,080"
05/13/2021,"241.80","245.60","241.42","243.03","29,624,301"
05/12/2021,"242.17","244.38","238.07","239.00","36,684,367"
05/11/2021,"244.55","246.60","242.57","246.23","33,641,594"
05/10/2021,"250.87","251.73","247.12","247.18","29,299,891"
05/07/2021,"252.15","254.30","251.17","252.46","27,032,910"
05/06/2021,"246.45","249.86","244.69","249.73","26,491,090"
05/05/2021,"249.06","249.50","245.82","246.47","21,901,330"
05/04/2021,"250.97","251.21","245.76","247.79","32,756,051"
05/03/2021,"253.40","254.35","251.12","251.86","19,626,570"
04/30/2021,"249.74","253.08","249.60","252.18","30,945,100"
04/29/2021,"255.46","256.10","249.00","252.51","40,589,020"
04/28/2021,"256.08","256.54","252.95","254.56","46,903,121"
04/27/2021,"261.59","263.19","260.12","261.97","31,014,211"
04/26/2021,"261.66","262.44","260.17","261.55","19,763,350"
04/23/2021,"257.88","261.51","257.27","261.15","21,499,289"
04/22/2021,"260.21","261.78","255.64","257.17","25,606,150"
04/21/2021,"258.94","260.68","257.25","260.58","24,030,381"
04/20/2021,"257.82","260.20","256.84","258.26","19,722,881"
04/19/2021,"260.19","261.48","257.82","258.74","23,209,260"
04/16/2021,"259.47","261.00","257.60","260.74","24,878,580"
04/15/2021,"257.93","259.93","257.73","259.50","25,627,480"
04/14/2021,"257.48","258.83","255.16","255.59","23,070,939"
04/13/2021,"257.26","259.19","256.83","258.49","23,837,471"
04/12/2021,"254.71","257.67","254.62","255.91","27,148,670"
04/09/2021,"252.87","255.99","252.44","255.85","24,326,830"
04/08/2021,"252.77","254.14","252.00","253.25","23,625,199"
04/07/2021,"247.81","250.93","247.19","249.90","22,719,840"
04/06/2021,"247.61","249.40","246.88","247.86","22,931,920"
04/05/2021,"242.76","249.96","242.70","249.07","36,910,609"
04/01/2021,"238.47","242.84","238.05","242.35","30,337,980"
03/31/2021,"232.91","239.10","232.39","235.77","43,623,473"
03/30/2021,"233.53","233.85","231.10","231.85","24,792,010"
03/29/2021,"236.59","236.80","231.88","235.24","25,227,461"
03/26/2021,"231.55","236.71","231.55","236.48","25,479,850"
03/25/2021,"235.30","236.94","231.57","232.34","34,061,848"
03/24/2021,"237.85","238.00","235.32","235.46","25,620,131"
03/23/2021,"237.49","241.05","237.07","237.58","31,638,381"
03/22/2021,"230.27","236.90","230.14","235.99","30,127,010"
03/19/2021,"231.02","232.47","229.35","230.35","46,430,727"
03/18/2021,"232.56","234.19","230.33","230.72","34,852,246"
03/17/2021,"236.15","238.55","233.23","237.04","29,562,100"
03/16/2021,"236.28","240.06","235.94","237.71","28,092,199"
03/15/2021,"234.96","235.19","231.81","234.81","26,042,670"
03/12/2021,"234.01","235.82","233.23","235.75","22,653,660"
03/11/2021,"234.96","239.17","234.31","237.13","29,907,590"
03/10/2021,"237.00","237.00","232.04","232.42","29,746,811"
03/09/2021,"232.88","235.38","231.67","233.78","33,080,531"
03/08/2021,"231.37","233.37","227.13","227.39","35,267,441"
03/05/2021,"229.52","233.27","226.46","231.60","41,872,770"
03/04/2021,"226.74","232.49","224.26","226.73","44,727,793"
03/03/2021,"232.16","233.58","227.26","227.56","34,029,527"
03/02/2021,"237.01","237.30","233.45","233.87","22,812,461"
03/01/2021,"235.90","237.47","233.15","236.94","25,332,840"
02/26/2021,"231.53","235.37","229.54","232.38","37,819,230"
02/25/2021,"232.08","234.59","227.88","228.99","39,542,238"
02/24/2021,"230.01","235.20","229.00","234.55","26,339,750"
02/23/2021,"230.33","234.83","228.73","233.27","30,228,699"
02/22/2021,"237.42","237.93","232.40","234.51","36,446,941"
02/19/2021,"243.75","243.86","240.18","240.97","25,262,600"
02/18/2021,"241.80","243.93","240.86","243.79","16,925,561"
02/17/2021,"241.32","244.31","240.94","244.20","21,673,109"
02/16/2021,"245.03","246.13","242.92","243.70","26,728,490"
02/12/2021,"243.93","245.30","242.73","244.99","16,561,080"
02/11/2021,"244.78","245.15","242.15","244.49","15,751,060"
02/10/2021,"245.00","245.92","240.89","242.82","22,186,711"
02/09/2021,"241.87","244.76","241.38","243.77","23,564,949"
02/08/2021,"243.15","243.68","240.81","242.47","22,211,930"
02/05/2021,"242.23","243.28","240.42","242.20","18,054,750"
02/04/2021,"242.66","243.24","240.37","242.01","25,296,100"
02/03/2021,"239.57","245.09","239.26","243.00","27,158,100"
02/02/2021,"241.30","242.31","238.69","239.51","25,916,340"
02/01/2021,"235.06","242.50","232.43","239.65","33,314,191"
01/29/2021,"235.99","238.02","231.35","231.96","42,503,141"
01/28/2021,"235.61","242.64","235.09","238.93","49,111,160"
01/27/2021,"238.00","240.44","230.14","232.90","69,870,641"
01/26/2021,"231.86","234.18","230.08","232.33","49,169,602"
01/25/2021,"229.12","229.78","224.22","229.53","33,152,102"
01/22/2021,"227.08","230.07","225.80","225.95","30,172,660"
01/21/2021,"224.70","226.30","222.42","224.97","30,749,551"
01/20/2021,"217.70","225.79","217.29","224.34","37,777,262"
01/19/2021,"213.75","216.98","212.63","216.44","30,480,859"
01/15/2021,"213.52","214.51","212.03","212.65","31,746,510"
01/14/2021,"215.91","217.46","212.74","213.02","29,346,740"
01/13/2021,"214.02","216.76","213.93","216.34","20,087,080"
01/12/2021,"216.50","217.10","213.32","214.93","23,249,340"
01/11/2021,"218.47","218.91","216.73","217.49","23,047,029"
01/08/2021,"218.68","220.58","217.03","219.62","22,956,211"
01/07/2021,"214.04","219.34","213.71","218.29","27,694,480"
01/06/2021,"212.17","216.49","211.94","212.25","35,930,648"
01/05/2021,"217.26","218.52","215.70","217.90","23,822,949"
01/04/2021,"222.53","223.00","214.81","217.69","37,130,141"
12/31/2020,"221.70","223.00","219.68","222.42","20,942,131"
12/30/2020,"225.23","225.63","221.47","221.68","20,272,340"
