Date,Open,High,Low,Close,Adj Close,Volume
5/17/2019,88.160004,89.595001,87.550003,87.959999,87.959999,920600
5/20/2019,86.510002,87.889999,85.209999,87.32,87.32,1520900
5/21/2019,88.290001,89.964996,87.629997,88.18,88.18,932000
5/22/2019,87.650002,90,87.480003,89.010002,89.010002,766100
5/23/2019,88.209999,88.230003,85.809998,86.660004,86.660004,1343800
5/24/2019,87.150002,88.459999,87.010002,88.019997,88.019997,741800
5/28/2019,88.360001,90.529999,87.940002,88.519997,88.519997,1029400
5/29/2019,87.540001,87.850998,84.110001,84.199997,84.199997,1467300
5/30/2019,84.610001,85.440002,83.379997,84.730003,84.730003,1505400
5/31/2019,83.440002,85.139999,83.160004,84.25,84.25,1438700
6/3/2019,84.050003,84.410004,77.610001,78.419998,78.419998,3029600
6/4/2019,79.699997,81.739998,78.695,81.629997,81.629997,3411000
6/5/2019,82.809998,84.230003,81.580002,83.709999,83.709999,1660300
6/6/2019,83.169998,85.25,82.550003,84.730003,84.730003,1941100
6/7/2019,86.440002,89.57,86.339996,89.370003,89.370003,2151400
6/10/2019,90.300003,93.720001,90.279999,91.879997,91.879997,2461600
6/11/2019,91.870003,92.5,86.540001,87.690002,87.690002,2417600
6/12/2019,88.230003,88.829002,87.019997,88.050003,88.050003,1288100
6/13/2019,88.160004,88.610001,86.849998,87.989998,87.989998,1018900
6/14/2019,87.68,87.769997,85.830002,86.809998,86.809998,1204600
6/17/2019,87,89.099998,86.540001,87.25,87.25,1173100
6/18/2019,88.68,89.775002,87.660004,87.699997,87.699997,1158700
6/19/2019,88.419998,89.949997,86.93,89.800003,89.800003,1572300
6/20/2019,91.419998,93.184998,91.169998,92.660004,92.660004,1853200
6/21/2019,92.470001,92.900002,91.419998,92.550003,92.550003,1608800
6/24/2019,91.980003,92.669998,90.165001,91.300003,91.300003,1527300
6/25/2019,91.349998,91.57,87.220001,87.809998,87.809998,1492700
6/26/2019,88.440002,89.089996,85.849998,86.330002,86.330002,1423300
6/27/2019,86.720001,88.550003,85.669998,88.279999,88.279999,1426300
6/28/2019,88.279999,89.150002,86.519997,89.029999,89.029999,1298700
7/1/2019,91.230003,91.839996,89.660004,90.620003,90.620003,1127700
7/2/2019,90.940002,91.650002,90.190002,90.900002,90.900002,956600
7/3/2019,90.949997,92.550003,90.910004,91.800003,91.800003,986400
7/5/2019,91.209999,91.959999,89.07,91.940002,91.940002,820200
7/8/2019,91.400002,92.010002,90.940002,91.620003,91.620003,1390600
7/9/2019,91.040001,93.419998,90.769997,93.150002,93.150002,1781200
7/10/2019,93.5,94.760002,93.18,93.690002,93.690002,805800
7/11/2019,93.970001,94.889999,93.25,93.699997,93.699997,846600
7/12/2019,94.43,94.650002,92.360001,93.620003,93.620003,725300
7/15/2019,93.879997,94.434998,92.849998,93.330002,93.330002,849100
7/16/2019,93.279999,93.669998,90.769997,91.57,91.57,997700
7/17/2019,91.959999,94,91.919998,92.510002,92.510002,826700
7/18/2019,91.870003,92.910004,91.294998,92.129997,92.129997,947100
7/19/2019,92.900002,93.514999,90.489998,90.690002,90.690002,1048400
7/22/2019,91.209999,93.580002,91.209999,92.720001,92.720001,1077600
7/23/2019,93.489998,93.75,90.110001,91.57,91.57,928500
7/24/2019,91.989998,93.485001,91.57,93.470001,93.470001,910400
7/25/2019,93.25,94.43,92.589996,93.300003,93.300003,1439200
7/26/2019,93.639999,94.830002,93.550003,93.739998,93.739998,1116600
7/29/2019,94.18,94.239998,89.690002,92.830002,92.830002,1979700
7/30/2019,91.699997,93.529999,91.089996,93.120003,93.120003,2494000
7/31/2019,86.699997,88.620003,83.220001,83.559998,83.559998,8675400
8/1/2019,83.82,86.269997,82.339996,82.68,82.68,4341400
8/2/2019,82.089996,82.166,78.916,80.199997,80.199997,3717400
8/5/2019,77.459999,78.489998,75.209999,76.449997,76.449997,3532600
8/6/2019,77.300003,77.989998,75.440002,77.169998,77.169998,3232100
8/7/2019,76.269997,77.239998,74.489998,76.889999,76.889999,1988800
8/8/2019,77.849998,78.870003,77.209999,78.019997,78.019997,2257700
8/9/2019,77.629997,78.029999,76.120003,76.339996,76.339996,1612100
8/12/2019,75.629997,76,73.650002,74.389999,74.389999,1077300
8/13/2019,73.970001,78.870003,73.900002,78.059998,78.059998,2894600
8/14/2019,75.830002,76.25,73.160004,74.699997,74.699997,1853000
8/15/2019,75,75.589996,73.580002,74.620003,74.620003,1512200
8/16/2019,75.370003,76.870003,75.360001,76.300003,76.300003,1152700
8/19/2019,77.519997,77.93,76.110001,76.959999,76.959999,1497600
8/20/2019,76.599998,78.699997,76,78.110001,78.110001,1628700
8/21/2019,79.010002,81.010002,78.714996,80.230003,80.230003,1966400
8/22/2019,81.82,81.970001,79.809998,80.839996,80.839996,1639200
8/23/2019,80.690002,82.629997,79.660004,80.389999,80.389999,1537000
8/26/2019,81,82.290001,79.970001,82.230003,82.230003,1499900
8/27/2019,82.800003,84.150002,81.339996,82.300003,82.300003,1159200
8/28/2019,81.410004,81.584999,78.610001,80.050003,80.050003,1557300
8/29/2019,81.199997,82.080002,80.459999,81.400002,81.400002,772100
8/30/2019,81.849998,82.050003,78.459999,80.199997,80.199997,1525000
9/3/2019,79.309998,80.419998,78.209999,79.129997,79.129997,935200
9/4/2019,80.290001,80.889999,79.099998,79.410004,79.410004,808900
9/5/2019,80.449997,80.5,78.459999,79.910004,79.910004,1370700
9/6/2019,79.790001,79.879997,77.794998,78.309998,78.309998,888800
9/9/2019,78.699997,78.857002,73.419998,75.620003,75.620003,3365800
9/10/2019,74.480003,76.290001,73.629997,75.830002,75.830002,1645500
9/11/2019,75.849998,78,75.57,75.860001,75.860001,1504000
9/12/2019,76.519997,77.599998,74.18,74.230003,74.230003,1803100
9/13/2019,73.599998,74.669998,72.25,73.459999,73.459999,1779200
9/16/2019,72.760002,74.650002,71.910004,74.459999,74.459999,1566900
9/17/2019,75.199997,76.970001,75.150002,76.68,76.68,1257900
9/18/2019,76.690002,77.760002,76.360001,77.660004,77.660004,1283800
9/19/2019,78.199997,78.529999,76.669998,77.360001,77.360001,1044500
9/20/2019,77.529999,78.485001,76.345001,77.489998,77.489998,1303100
9/23/2019,77.080002,78.330002,76.690002,77.230003,77.230003,475700
9/24/2019,77.620003,77.620003,73.410004,73.599998,73.599998,2313100
9/25/2019,73.360001,73.519997,70.529999,73.400002,73.400002,1843100
9/26/2019,73.510002,74.800003,73.010002,74.080002,74.080002,1191600
9/27/2019,74.519997,74.68,70.150002,72.080002,72.080002,3297300
9/30/2019,71.989998,73.139999,71.010002,72.879997,72.879997,1684300
10/1/2019,73.32,73.959999,72.410004,72.709999,72.709999,1705100
10/2/2019,71.839996,72.160004,68.139999,69.809998,69.809998,3346100
10/3/2019,69.669998,73.339996,69.010002,73.169998,73.169998,2474300
10/4/2019,73.980003,74.839996,72.330002,74.800003,74.800003,1380600
10/7/2019,74.269997,75.709999,74.269997,75.139999,75.139999,882700
10/8/2019,74.160004,74.970001,72.080002,72.389999,72.389999,1255800
10/9/2019,73.300003,74.050003,72.834999,73.650002,73.650002,757600
10/10/2019,73.129997,73.449997,69.349998,70.160004,70.160004,3590900
10/11/2019,71.239998,72.629997,70.279999,71.879997,71.879997,2354900
