Date,Open,High,Low,Close,Volume
1/19/2021,374.87,386.38,374.36,384.95,"1,578,492"
1/15/2021,364.88,373.84,363.03,371.01,"1,597,810"
1/14/2021,365.29,369.63,364.97,365.51,"1,146,186"
1/13/2021,364.97,367.33,360.5,364.96,"1,019,574"
1/12/2021,371.83,372.63,362.35,365.67,"1,242,518"
1/11/2021,376.13,376.76,366.38,372.34,"1,514,875"
1/8/2021,369.79,375.03,368.6,374.46,"1,259,108"
1/7/2021,363.24,370.23,360.33,368.63,"1,108,980"
1/6/2021,359.17,364.01,357.69,361,"1,537,625"
1/5/2021,370.44,374,367.31,368.87,"1,117,837"
1/4/2021,379.74,384.62,366.17,371.7,"1,839,788"
12/31/2020,375.02,380.48,374.95,379.85,"982,530"
12/30/2020,380.82,381.98,375.34,375.55,"703,191"
12/29/2020,383.2,384.82,377.32,378.33,"640,599"
12/28/2020,387.57,387.94,378.04,381.12,"871,854"
12/24/2020,377.51,381.79,377.43,381.16,"441,932"
12/23/2020,379.01,383.94,376.71,376.92,"900,939"
12/22/2020,376,380.14,373.58,379.97,"1,003,561"
12/21/2020,374.72,377.82,368.42,375.93,"997,633"
12/18/2020,377.16,380.8,375.53,380.11,"2,569,581"
12/17/2020,371.93,380.99,370.34,380.32,"1,965,911"
12/16/2020,361.31,370.36,360.03,369.26,"1,577,883"
12/15/2020,365.82,367.76,360.15,360.43,"1,655,060"
12/14/2020,364.44,369.31,363.61,365.51,"1,365,982"
12/11/2020,362.12,364.65,358,364.32,"1,193,790"
12/10/2020,361.23,364.4,357.45,362.5,"1,499,216"
12/9/2020,368.91,370.14,361.11,364.18,"2,477,788"
12/8/2020,372.4,380.5,370.53,372.59,"1,705,237"
12/7/2020,367.82,373.98,367.28,372.19,"1,910,082"
12/4/2020,365.15,371.94,364.07,368.6,"1,404,403"
12/3/2020,355.19,366.68,353.47,363.7,"1,841,131"
12/2/2020,355.66,356.15,350.06,355.49,"760,700"
12/1/2020,356.01,359.29,352.29,356.82,"1,088,895"
11/30/2020,353.45,356.44,348.13,352.02,"1,875,760"
11/27/2020,353.93,358.04,351.83,354.24,"528,296"
11/25/2020,345.72,352.47,345.01,350.47,"1,199,344"
11/24/2020,345,347.73,342.52,345.2,"1,045,463"
11/23/2020,348.07,350.32,337.72,343.33,"1,529,577"
11/20/2020,358.85,359.99,347.51,347.69,"2,370,232"
11/19/2020,353.2,363.39,349.05,361.44,"1,533,627"
11/18/2020,356.24,360.26,353.76,354.74,"912,410"
11/17/2020,354.98,360,353.43,358.75,"953,992"
11/16/2020,356.54,361.22,353.33,357.06,"1,158,831"
11/13/2020,351.84,358.33,350.43,356.95,"1,179,472"
11/12/2020,352.97,356.64,347.65,349.51,"947,726"
11/11/2020,345.65,356.55,342.93,352.4,"1,127,017"
11/10/2020,358.15,358.15,339.35,342.26,"1,544,160"
11/9/2020,365.95,377.15,359.31,360.14,"1,820,136"
11/6/2020,351.48,353.85,344.8,352.26,"623,054"
11/5/2020,350.92,352.01,346.21,350.96,"1,074,337"
11/4/2020,339.72,347.91,334.11,343,"1,344,677"
11/3/2020,319.91,326.94,317.83,324.73,"1,114,858"
11/2/2020,317.76,321.87,312.17,316.42,"1,109,863"
10/30/2020,321.91,325.17,312.05,314.68,"1,682,866"
10/29/2020,319.43,329.39,319.33,325.61,"896,800"
10/28/2020,323.47,325.1,317.96,318.51,"948,411"
10/27/2020,330.59,333.4,329.31,330.27,"838,744"
10/26/2020,330.91,332.1,323.44,328.09,"927,838"
10/23/2020,333.32,334.59,330,334.42,"721,966"
10/22/2020,332.94,333.91,325.31,331.82,"803,367"
10/21/2020,335.69,336.68,331.31,332.79,"816,816"
10/20/2020,338.35,338.97,333.45,334.51,"1,131,226"
10/19/2020,343.32,344.23,334.05,335.27,"822,798"
10/16/2020,343.78,346.82,340.95,341.15,"790,020"
10/15/2020,341.29,343.18,338,341.97,"790,047"
